d       s       a       m_i 
121 	9	229	1 3 3 3 19 51 115 115 371 
122 	9	230	1 3 3 3 19 51 115 243 243 
123 	9	234	1 3 3 3 19 19 19 19 275 
124 	9	236	1 3 3 3 19 19 83 211 211 
125 	9	241	1 3 3 3 3 35 99 99 355 
126 	9	244	1 3 3 3 3 35 35 35 291 
127 	9	253	1 3 3 3 3 3 3 131 131 
128 	10	4	1 1 1 1 1 1 1 129 129 129 
129 	10	7	1 1 1 1 1 1 1 129 385 897 
130 	10	13	1 1 1 1 1 1 65 193 193 705 
131 	10	14	1 1 1 1 1 1 65 193 449 449 
132 	10	19	1 1 1 1 1 33 33 33 289 801 
133 	10	22	1 1 1 1 1 33 33 161 417 417 
134 	10	26	1 1 1 1 1 33 97 97 353 353 
135 	10	35	1 1 1 1 17 17 17 17 17 529 
136 	10	41	1 1 1 1 17 17 81 81 337 849 
137 	10	49	1 1 1 1 17 49 49 49 305 817 
138 	10	50	1 1 1 1 17 49 49 49 49 49 
139 	10	55	1 1 1 1 17 49 49 177 177 689 
140 	10	64	1 1 1 9 9 9 73 73 73 585 
141 	10	69	1 1 1 9 9 9 73 201 201 201 
142 	10	76	1 1 1 9 9 9 9 137 137 649 
143 	10	84	1 1 1 9 9 41 105 233 233 745 
144 	10	87	1 1 1 9 9 41 105 233 489 489 
145 	10	98	1 1 1 9 25 25 89 89 89 601 
146 	10	100	1 1 1 9 25 25 89 217 473 985 
147 	10	107	1 1 1 9 25 25 25 25 25 25 
148 	10	115	1 1 1 9 25 57 121 121 121 121 
149 	10	118	1 1 1 9 25 57 121 249 249 761 
150 	10	121	1 1 1 9 25 57 57 57 313 313 
151 	10	127	1 1 1 9 25 57 57 185 185 185 
152 	10	133	1 1 5 5 21 21 85 213 469 981 
153 	10	134	1 1 5 5 21 21 85 213 213 213 
154 	10	140	1 1 5 5 21 21 21 149 405 405 
155 	10	143	1 1 5 5 21 21 21 149 149 661 
156 	10	145	1 1 5 5 21 53 117 117 373 373 
157 	10	152	1 1 5 5 21 53 53 53 309 821 
158 	10	158	1 1 5 5 21 53 53 181 181 693 
